node,size,rep,real_s,user_s,sys_s
soctf-pdc-002.comp.nus.edu.sg,1000,1,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,2,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,3,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,4,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,5,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,6,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,7,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,8,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,9,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,1000,10,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,1,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,2,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,3,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,4,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,5,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,6,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,7,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,8,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,9,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,2000,10,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,1,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,2,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,3,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,4,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,5,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,6,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,7,0.01,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,8,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,9,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,5000,10,0.02,0.00,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,1,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,2,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,3,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,4,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,5,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,6,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,7,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,8,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,9,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,10000,10,0.02,0.01,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,2,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,3,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,4,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,5,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,6,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,7,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,8,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,9,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,0.03,0.02,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,1,0.05,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,2,0.05,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,3,0.05,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,4,0.05,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,5,0.05,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,6,0.04,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,7,0.05,0.04,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,8,0.05,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,9,0.04,0.03,0.00
soctf-pdc-002.comp.nus.edu.sg,50000,10,0.05,0.03,0.00
