node,size,max_value,rep,real_s,user_s,sys_s
soctf-pdc-002.comp.nus.edu.sg,20000,10,1,1.07,1.06,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,2,1.07,1.06,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,3,1.06,1.04,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,4,1.04,1.03,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,5,1.04,1.03,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,6,1.08,1.06,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,7,1.05,1.04,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,8,1.05,1.03,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,9,1.04,1.03,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10,10,1.07,1.06,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,1,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,2,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,3,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,4,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,5,1.11,1.10,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,6,1.13,1.11,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,7,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,8,1.09,1.07,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,9,1.11,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100,10,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,1,1.09,1.07,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,2,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,3,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,4,1.14,1.13,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,5,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,6,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,7,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,8,1.11,1.10,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,9,1.13,1.12,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000,10,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,1,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,2,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,3,1.11,1.10,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,4,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,5,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,6,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,7,1.16,1.15,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,8,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,9,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,10000,10,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,1,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,2,1.12,1.11,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,3,1.13,1.11,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,4,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,5,1.12,1.11,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,6,1.13,1.12,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,7,1.09,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,8,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,9,1.10,1.08,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,100000,10,1.13,1.12,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,1,1.12,1.10,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,2,1.11,1.10,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,3,1.11,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,4,1.11,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,5,1.13,1.12,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,6,1.15,1.13,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,7,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,8,1.10,1.09,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,9,1.13,1.12,0.00
soctf-pdc-002.comp.nus.edu.sg,20000,1000000,10,1.11,1.10,0.00
